chapter_no,heading_1,heading_2,heading_3,heading_4,sub_section_no,source_url,zoneomics_url,is_sub_chunk,sub_chunk_no,text
2,SUPPLEMENT HISTORY TABLE,Article 1 - General Provisions,Chapter 19.02 - Authority,19.02.090 - Status of Specific Plans,sub-sec-2.1.1.7,https://library.municode.com/ca/twentynine_palms/codes/code_of_ordinances?nodeId=SUHITA_ART1GEPR_CH19.02AU_19.02.090STSPPL,https://zoneomics.com/code/4773/chapter_2#2.1.1.7,False,0,"Where a specific plan has been adopted containing specific development standards, the development standards contained in this Development Code shall not apply to the degree that they are not consistent with the development standards contained in the specific plan."
2,SUPPLEMENT HISTORY TABLE,Article 1 - General Provisions,Chapter 19.02 - Authority,19.02.100 - Planning Commission,sub-sec-2.1.1.8,https://library.municode.com/ca/twentynine_palms/codes/code_of_ordinances?nodeId=SUHITA_ART1GEPR_CH19.02AU_19.02.100PLCO,https://zoneomics.com/code/4773/chapter_2#2.1.1.8,False,0,"A.
Purpose.
The purpose of this Section is to establish the Planning Commission for the City of Twentynine Palms and identify the membership, powers and duties of the Planning Commission.
B. Membership.
The Planning Commission shall consist of five members, each of whom shall be appointed by and serve at the pleasure of the City Council.
1. The Planning Commission shall represent differing segments of the community.
The members of the Planning Commission shall be residents of the City and shall be registered voters.
When a person serving on the Planning Commission ceases to be a resident of the City of Twentynine Palms, the City Council shall declare vacant such person's position on the Planning Commission and shall nominate another eligible person to the unexpired term.
2. No members of the Planning Commission shall hold any other remunerative office or position with the City.
No member of the City Council shall be eligible for membership on the Planning Commission.
3. Planning Commissioners may, at the discretion of the City Council, be reappointed to subsequent terms of office upon the expiration of their term.
4. Members of the Planning Commission shall receive compensation for their attendance at each meeting of the Commission as deemed appropriate by the City Council by Resolution.
C. Term of Office.
The term of office for Planning Commissioners shall be four years, or until their successor is sworn into office.
Terms shall be staggered with three terms expiring in February following a three-person City Council election and two terms expiring in February following a two-person City Council election.
1. To be considered for reappointment to the Planning Commission at the conclusion of each Planning Commissioner's term, Planning Commissioners shall be required to reapply for consideration of reappointment.
2. Any member of the Planning Commission may be removed by a majority vote of the City Council at a duly noticed public meeting.
D. Absence from Meetings.
If a member of the Planning Commission is absent from three successive regular meetings of the Planning Commission, without cause, the office of such member shall be deemed vacant and the Director shall immediately inform the City Council of such vacancy.
An absence due to illness is an unavoidable absence and written notice thereof to the Chair of the Planning Commission on or before the day of any regular meeting of the Commission shall be deemed absence for cause.
E. Selection of Chair and Vice Chair.
At the first meeting of April each year or as soon thereafter as practical, the Planning Commission shall elect its Chair from among the appointed members.
The term of office as Chair shall be for one year.
Upon selection and seating of the Chair, the Planning Commission shall elect a Vice Chair from among the four remaining members.
F. Planning Commission Meetings.
The Planning Commission shall hold regular meetings.
The meeting schedule shall be determined by the Planning Commission after selection of the Chair and Vice Chair.
Such determination shall include the dates, time and place of such meetings.
1. The Commission may hold additional adjourned or special meetings as may be called in accordance with the law.
2. If any regular meeting falls on a holiday, it shall be held on the next scheduled business day.
All meetings otherwise scheduled or noticed to be held on a regular meeting day falling on a holiday shall be held at the meeting of the next business day without additional noticing requirements.
G. Powers of the Planning Commission.
1. The Planning Commission shall perform the following functions and shall have the power, except as otherwise provided by law, to:
a. Act as the planning agency for the City of Twentynine Palms.
b. Prepare and implement the General Plan.
Such duties to include:
i. Review public works projects for consistency with the General Plan.
ii. Review discretionary projects and determine consistency with the General Plan.
iii. Promote public interest in the General Plan regarding its implementation.
2. Provide an annual report to the City Council on the status of the General Plan.
3. Recommend regulations for the future growth, development and beautification of the City, in respect to its public and private buildings and works, streets, schools, parks, grounds and vacant lots.
4. Recommend plans, consistent with the future growth and development of the City, to secure sanitation, proper service of public utilities, and transportation facilities.
5. Recommend to the City Council approval, conditional approval or disapproval of tentative maps of proposed subdivision of land.
a. The City Council hereby designates the Planning Commission as its advisory agency with respect to the design and improvement of proposed subdivisions.
b. Every such map or plat shall, prior to its final approval or disapproval by the Council, be submitted to the Commission for action thereon.
6. Hold public hearings to review and approve or deny, or make recommendation to the City Council on, development and land use applications as identified on Table
19.28.110-1 (Approving Authority for Land Use Permits) of the Development Code.
7. Perform other duties as shall be necessary to carry out the provisions of this Article and the provisions of the Conservation and Planning Act of the state, amendments or any act substituted therefore."
2,SUPPLEMENT HISTORY TABLE,Article 1 - General Provisions,Chapter 19.02 - Authority,19.02.110 - Development Code Administration,sub-sec-2.1.1.9,https://library.municode.com/ca/twentynine_palms/codes/code_of_ordinances?nodeId=SUHITA_ART1GEPR_CH19.02AU_19.02.110DECOAD,https://zoneomics.com/code/4773/chapter_2#2.1.1.9,False,0,"Administration of the Development Code shall be consistent with federal, state and local laws."
2,SUPPLEMENT HISTORY TABLE,Article 1 - General Provisions,Chapter 19.02 - Authority,19.02.120 - Severability,sub-sec-2.1.1.10,https://library.municode.com/ca/twentynine_palms/codes/code_of_ordinances?nodeId=SUHITA_ART1GEPR_CH19.02AU_19.02.120SE,https://zoneomics.com/code/4773/chapter_2#2.1.1.10,False,0,"Should any section, chapter, paragraph, phrase or any portion of this Development Code be declared unconstitutional or invalid or set aside by any court of competent authority, such action shall not affect other sections, chapters, paragraphs, phrases or parts hereof as adopted or amended."
2,SUPPLEMENT HISTORY TABLE,Article 1 - General Provisions,Chapter 19.04 - The General Plan,19.04.010 - Purpose,sub-sec-2.1.2.1,https://library.municode.com/ca/twentynine_palms/codes/code_of_ordinances?nodeId=SUHITA_ART1GEPR_CH19.04THGEPL_19.04.010PU,https://zoneomics.com/code/4773/chapter_2#2.1.2.1,False,0,"The purpose of this Chapter is to establish guidelines and procedures for the adoption, maintenance and administration of the General Plan.
The General Plan and these procedures are to be consistent with state planning laws (California Government Code Section 65300 et seq.)
and state General Plan Guidelines."
2,SUPPLEMENT HISTORY TABLE,Article 1 - General Provisions,Chapter 19.04 - The General Plan,19.04.020 - Adoption,sub-sec-2.1.2.2,https://library.municode.com/ca/twentynine_palms/codes/code_of_ordinances?nodeId=SUHITA_ART1GEPR_CH19.04THGEPL_19.04.020AD,https://zoneomics.com/code/4773/chapter_2#2.1.2.2,False,0,"The Community Development Director (Director) shall prepare, the Planning Commission shall recommend, and the City Council shall adopt a comprehensive, long-term General Plan for orderly physical development and the preservation of resources and open space in the City according to Section 65300 et seq.
of the California Government Code, the state General Plan Guidelines and any other applicable state statutes.
A. Form.
The General Plan shall constitute an integrated, internally consistent, and compatible statement of land use policies, consisting of:
1. Maps covering the incorporated area of the City and designating existing and proposed land uses and public facilities.
2. Text stating citywide goals, objectives, policies, standards and implementation programs.
B. Content.
The General Plan shall include background data and analysis, required elements and other optional elements, and related planning studies to be utilized for interpretation, explanation and support of the plan's policies and designations."
2,SUPPLEMENT HISTORY TABLE,Article 1 - General Provisions,Chapter 19.04 - The General Plan,19.04.030 - Interpretation,sub-sec-2.1.2.3,https://library.municode.com/ca/twentynine_palms/codes/code_of_ordinances?nodeId=SUHITA_ART1GEPR_CH19.04THGEPL_19.04.030IN,https://zoneomics.com/code/4773/chapter_2#2.1.2.3,False,0,"The General Plan shall be applied and interpreted under the direction of the Director.
Where disputes arise over the interpretation of General Plan policies or mapping designations, such interpretation shall be resolved by a majority vote of the Planning Commission based on a report by the Director.
Determinations made by the Planning Commission shall be final unless appealed to the City Council in accordance with the procedures of Section 19.28.120 (Appeals).
19.04.040 Consistency
A. Land Use Regulation.
All land use regulations including building, zoning, subdivision and environmental protection regulations shall be consistent with the adopted General Plan.
B. Public Works Project.
Pursuant to California Government Code Section 65402, no real property shall be acquired by dedication or otherwise for street, square, park or other public purpose, and no real property shall be disposed of, no street shall be vacated or abandoned, and no public building or structure shall be constructed or authorized, until such project has been submitted to, and reported upon, as to conformity with the General Plan by the Director.
C. Reviewing Agency.
Pursuant to California Government Code Sections 65401 and 65403, the Community Development Department is designated as the planning agency to review and report on, and the Planning Commission is designated as the body to make a finding of consistency with, the General Plan for public works and capital improvement programs."
2,SUPPLEMENT HISTORY TABLE,Article 1 - General Provisions,Chapter 19.04 - The General Plan,19.04.050 - Amendment,sub-sec-2.1.2.4,https://library.municode.com/ca/twentynine_palms/codes/code_of_ordinances?nodeId=SUHITA_ART1GEPR_CH19.04THGEPL_19.04.050AM,https://zoneomics.com/code/4773/chapter_2#2.1.2.4,False,0,Any proposal to update or otherwise amend any element of the General Plan shall be processed in accordance with Chapter 19.50 (General Plan Amendment) of this Development Code.
2,SUPPLEMENT HISTORY TABLE,Article 1 - General Provisions,Chapter 19.04 - The General Plan,19.04.060 - Annual Review,sub-sec-2.1.2.5,https://library.municode.com/ca/twentynine_palms/codes/code_of_ordinances?nodeId=SUHITA_ART1GEPR_CH19.04THGEPL_19.04.060ANRE,https://zoneomics.com/code/4773/chapter_2#2.1.2.5,False,0,"A. Pursuant to Government Code Section 65400, on or before July 1 of each year, the Director shall prepare and the Planning Commission shall review and submit to the City Council an annual report on the status of the General Plan and progress in its administration and implementation.
The report shall be subject to a public hearing by the Planning Commission and City Council and shall include, but not be limited to, a summary of the following information:
1. A summary of General Plan amendments processed during the preceding year and those pending review.
2. A report on progress in administering and implementing the General Plan including progress in meeting the City's fair share of regional housing needs pursuant to California Government Code Section 65584.
3. A review of significant policy issues which may have arisen regarding provisions of the General Plan.
4. Recommendations for amendments to be initiated to maintain an effective, up-to-date General Plan, including policy changes, clarifications and changes in land use allocations and maps.
B. Pursuant to Government Code Section 65401, the Director shall request from each City department and each special district or school district, whose jurisdiction lies wholly or partially within the City, a list of the proposed public works projects recommended for planning, initiation or construction during the ensuing fiscal year.
The Director shall list and classify all such projects and prepare a coordinated program of public works projects for the ensuing fiscal year.
C. The Director shall report to the City Council as to the coordinated program of public works projects' conformity with the General Plan."
2,SUPPLEMENT HISTORY TABLE,Article 1 - General Provisions,Chapter 19.06 - Definitions, ,sub-sec-2.1.3,https://library.municode.com/ca/twentynine_palms/codes/code_of_ordinances?nodeId=SUHITA_ART1GEPR_CH19.06DE,https://zoneomics.com/code/4773/chapter_2#2.1.3,True,1,"Abandonment.
A discontinuance of any use with intent to permanently discontinue such use.
Abatement.
The method of reducing the degree and intensity of pollution, nuisances or violations.
Abut.
To physically touch or border upon; to share a common property line.
Access.
A way or means of physical entry to a property.
Accessory Use/Structure.
A use of land or building, or portion thereof, customarily incidental and subordinate to the primary use of the land or building and located on the same lot with the primary use or building.
Acre.
A measure of land area containing 43,560 square feet.
Acre, Gross.
The entire acreage of a site, calculated to the centerline of bounding streets.
Acre, Net.
The portion of a site not reserved for public use.
The following are not included in the net acreage of a site: public or private road rights-of-way, common or public open space, and floodways.
Action.
A decision on a permit application or other land use matter, made by the approval authority, including, where applicable, appropriate findings, environmental determination and Conditions of Approval.
Adaptive Reuse.
The conversion of obsolete or historic buildings from their original or most recent use to a new use; for example, the conversion of a former hospital or school building to residential use, or the conversion of a historic single-family home to office use.
Addition.
(1) A structure added to the original structure after the completion of the original;
(2) an extension or increase in floor area or height of a building or structure.
Administrative Office.
An establishment primarily engaged in overall management and general supervisory functions, such as executive, personnel, finance, legal and sales activities.
Administrative Site Plan Review.
The process established to provide for administrative review of projects that, because of their limited size and scope, have minor aesthetic, land use or traffic implications and do not create any significant impact on public utilities or services.
Adult-oriented Business.
See Section 19.100.030 (Definitions).
Adverse Impact.
A condition that creates, imposes, aggravates or leads to inadequate, impractical, unsafe, unsightly or unhealthy conditions.
Advertisement.
The publication of a public hearing in a paper of general circulation and through other media sources, indicating the time, place and nature of a public hearing and location where the application and pertinent documents may be inspected.
Affordable Housing.
See Section 19.72.030 (Definitions).
Agriculture.
Use of land for the production of food and fiber, including the growing of crops and/or the grazing of animals on natural or improved pastureland.
Airport or Heliport.
Any area designated and set aside for the landing and taking off of any aircraft regulated by the Federal Aviation Administration.
Aisle.
The traveled way by which cars enter and depart parking spaces.
Alcoholic Beverage Sales.
An activity or business engaged primarily in the sale of alcoholic beverages for on-site consumption.
Alley.
A service roadway providing a secondary means of public access to abutting property and not intended for general traffic circulation.
Alluvial Fan.
A geomorphologic feature characterized by a cone- or fan-shaped deposit of boulders, gravel and fine sediments that have been eroded from mountain slopes, transported by flood flows and then deposited on the valley floors, and which is subject to flash flooding, high velocity flows, debris flows, erosion, sediment movement and deposition, and channel migration.
Alteration.
Any change or rearrangement in the supporting members of an existing building, such as bearing walls, columns, beams, girders and all interior partitions; any change in doors, windows or means of ingress or egress; any enlargement to or diminution of a building or structure, whether horizontally or vertically; or the moving of a building or structure from one location to another.
Also see Change of Use.
Amenity.
Aesthetics or other characteristics of a development that increase its desirability to the community, such as swimming pools, tennis courts, security systems, views, landscaping or enhanced open space.
Amortization."
2,SUPPLEMENT HISTORY TABLE,Article 1 - General Provisions,Chapter 19.06 - Definitions, ,sub-sec-2.1.3,https://library.municode.com/ca/twentynine_palms/codes/code_of_ordinances?nodeId=SUHITA_ART1GEPR_CH19.06DE,https://zoneomics.com/code/4773/chapter_2#2.1.3,True,2,"A method of eliminating nonconforming uses or structures by requiring the termination of the nonconforming use or structure after a specified period of time.
Amusement Arcade.
A building or part of a building in which five or more amusement devices occupying more than 10 percent of the public floor area are displayed and available for use by the public.
Ancillary Use.
A use incidental to and customarily associated with a specific primary use, located on the same lot or parcel.
Animal.
For the purposes of this Development Code, animals are categorized as follows:
A. Small Animals.
Pygmy goats, potbelly pigs, poultry, rabbits, domestic dogs and cats and other comparably sized animals distinguished from those defined as medium or large animals.
B. Medium-Sized Animals.
Swine, pygmy horses, goats, sheep and other comparably sized animals distinguished from those defined as small or large animals.
C. Large Animals.
Horses, cows and other animals so categorized by their size, weight and/or appearance to be large animals.
Animal Hospital.
A place where animals or pets are given medical or surgical treatment and care.
Annexation.
The incorporation of a land area into an existing city or district resulting in a change in the boundaries of the city or district.
Antenna.
A device used to transmit and/or receive radio or electromagnetic waves between terrestrially and/or orbitally based devices.
Apartment.
A separate suite comprising one or more rooms of living space, which includes kitchen facilities, and is designed for and rented as a home or residence, and located in a building containing at least one other unit used for the same purpose.
Apex.
The point of highest elevation on an alluvial fan, which on undisturbed fans is generally the point where the major stream that formed the fan emerges from the mountain front.
Apiary.
A facility for the keeping of bees.
Appeal.
A request for a review of a decision or interpretation of any provision of the Development Code.
Appeal Authority.
The agency, board, group or legally designated individual empowered to review and approve an appeal of an action taken by an approval authority.
Applicant.
The owner(s) or lessee(s) of property, or their authorized agent(s), or person(s) who have contracted to purchase property contingent upon their ability to obtain the required entitlements, and who requests in writing, on the appropriate forms, the approval of a permit, license, certificate or other entitlement from the City.
Approval Authority.
The agency, board, group or other legally designated individual empowered to review and approve permit applications.
Approved Plan.
A final plan that has been approved by the appropriate jurisdictional authority.
Area of Shallow Flooding.
A designated AO Zone on the Flood Insurance Rate Map (FIRM).
The base flood depths range from 1 to 3 feet, a clearly defined channel does not exist, the path of flooding is unpredictable and indeterminate, and velocity flow may be evident.
Such flooding is characterized by ponding or sheet flow.
Area of Special Flood Hazard.
See Special Flood Hazard Area.
Athletic Fields.
Open space areas designed for participatory sports, games and events, along with ancillary minor facilities to support the use.
Attached.
Any structure that has an interior wall or roof in common with another structure.
Automobile Rental Agency.
A business enterprise engaged in the rental of cars, light trucks, trucks, motorcycles and/or recreational vehicles.
Automotive Repair, Major.
A facility which provides heavy repair of automobiles and/or trucks including but not limited to body and fender repair, automotive painting, transmission and/or engine rebuilding, or other repair services which include the removal of major automotive mechanical components of a vehicle.
Automotive Repair, Minor.
A facility which provides light repair of automobiles and/or light trucks, including but not limited to engine tune-up, oil change, brake repair and replacement, muffler replacement, and the sale and/or installation of tires, batteries and accessories.
Awning.A roof-like cover attached to and extending from the wall of a building to provide shielding of windows and/or entrances."
