chapter_no,heading_1,heading_2,heading_3,heading_4,heading_5,sub_section_no,source_url,zoneomics_url,is_sub_chunk,sub_chunk_no,text
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,101  INTERPRETATION AND APPLICATION,101.4, ,sub-sec-1.1.2.4,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-120,https://zoneomics.com/code/191/chapter_1#1.1.2.4,False,0,"101.4 The provisions of any statute or other municipal regulations shall govern whenever they:
(a) Require larger yards, courts, or other open spaces;
(b) Require a lower height or bulk of buildings or a smaller number of stories;
(c) Require a greater percentage of lot to be unoccupied; or (d) Impose higher standards than are required by this title."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,101  INTERPRETATION AND APPLICATION,101.5, ,sub-sec-1.1.2.5,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-121,https://zoneomics.com/code/191/chapter_1#1.1.2.5,False,0,"101.5 No building, structure, or premises shall be used, and no building, structure, or part of a building or structure shall be constructed, extended, moved, structurally altered, or enlarged except in conformity with this title."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,101  INTERPRETATION AND APPLICATION,101.6, ,sub-sec-1.1.2.6,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-122,https://zoneomics.com/code/191/chapter_1#1.1.2.6,False,0,"101.6 Where a lot is divided, the division shall be effected in a manner that will not violate the provisions of this title for yards, courts, other open space, minimum lot width, minimum lot area, floor area ratio, percentage of lot occupancy, parking spaces, or loading berths applicable to that lot or any lot created."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,101  INTERPRETATION AND APPLICATION,101.7, ,sub-sec-1.1.2.7,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-123,https://zoneomics.com/code/191/chapter_1#1.1.2.7,False,0,"101.7 If any section or provision of this title, or any boundary of any zone on the Zoning Maps adopted under this title, is decided by the courts to be unconstitutional or invalid, that decision shall not affect the validity of the regulations and the Zoning Maps as a whole or any part of the regulations or maps, other than the part determined to be unconstitutional or invalid."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,101  INTERPRETATION AND APPLICATION,101.8, ,sub-sec-1.1.2.8,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-124,https://zoneomics.com/code/191/chapter_1#1.1.2.8,False,0,"101.8 For the purpose of reference to zone districts in any statute or other municipal regulations not included within this title, the following cross references are offered."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,101  INTERPRETATION AND APPLICATION,101.9, ,sub-sec-1.1.2.9,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-125,https://zoneomics.com/code/191/chapter_1#1.1.2.9,False,0,"101.9 The following zones are considered residential zones :
(a) Residential House (R) zones;
(b) Residential Flat (RF) zones;
(c) Residential Apartment (multi-family);
(d) CG-1, Capitol Gateway (CG) zone;
(e) D-1, Downtown (D) zone; and (f) Barry Farm (BF) zones."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,101  INTERPRETATION AND APPLICATION,101.10, ,sub-sec-1.1.2.10,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-126,https://zoneomics.com/code/191/chapter_1#1.1.2.10,False,0,"101.10 The following zones are considered mixed-use zones, or special purpose zones:
(a) Mixed-Use Uptown Arts (ARTS) zones;
(b) Capitol Gateway (CG) zones, except CG-1;
(c) Downtown (D) zones, except D-1;
(d) Hill East (HE) zones;
(e) Mixed-Use (MU) zones;
(f) Navy Yard East (NYE) zones;
(g) Neighborhood Mixed-Use (NMU) zones;
(h) North Howard Road (NHR) zone;
(i) Southeast Federal Center (SEFC) zones;
(j) Saint Elizabeths East Campus (StE) zones;
(k) Union Station North (USN) zones; and (l) Walter Reed (WR) zones."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,101  INTERPRETATION AND APPLICATION,101.11, ,sub-sec-1.1.2.11,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-127,https://zoneomics.com/code/191/chapter_1#1.1.2.11,False,0,"101.11 Production, Distribution, and Repair (PDR) zones are considered industrial zones."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,"102  VESTED RIGHTS UNDER THE PREVIOUS 1958 ZONING
 REGULATIONS, AS AMENDED.",102.1, ,sub-sec-1.1.3.1,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-129,https://zoneomics.com/code/191/chapter_1#1.1.3.1,False,0,"102.1 A project identified within this section shall be considered to have vested development rights (vested project) subject to the provisions and requirements of the
1958 Zoning Regulations, any conditions of approval, and subject to the conditions of Subtitle A
§§ 102.4 through 102.7."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,"102  VESTED RIGHTS UNDER THE PREVIOUS 1958 ZONING
 REGULATIONS, AS AMENDED.",102.2, ,sub-sec-1.1.3.2,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-130,https://zoneomics.com/code/191/chapter_1#1.1.3.2,False,0,"102.2 An application for a building permit that has been officially accepted by the Department of Consumer and Regulatory Affairs as being complete prior to the effective date of this title, if the building permit plans are consistent with the
1958 Regulations, shall be considered a vested project."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,"102  VESTED RIGHTS UNDER THE PREVIOUS 1958 ZONING
 REGULATIONS, AS AMENDED.",102.3, ,sub-sec-1.1.3.3,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-131,https://zoneomics.com/code/191/chapter_1#1.1.3.3,False,0,"102.3 An application for a building permit filed on or after the effective date of this title shall be considered a vested project if the building permit plans are consistent with:
(a) An unexpired approval of a first-stage, second-stage, or consolidated planned unit development; variance; special exception; campus plan; design review in the CG or SEFC zones; or concept design by the Historic Preservation Review Board or Commission of Fine Arts; provided, the vote to approve occurred prior to the effective date of this title;
(b) An unexpired approval of a variance, special exception, or design review in the CG or SEFC zones granted on or after the effective date of this title, for which a public hearing was held prior to the effective date of this title;
(c) An unexpired approval of a first-stage, second-stage, or consolidated planned unit development that was granted after the effective date of this title, but which was set down for a public hearing prior to the effective date of this title; or (d) A large tract review completed prior to January 1, 2015."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,"102  VESTED RIGHTS UNDER THE PREVIOUS 1958 ZONING
 REGULATIONS, AS AMENDED.",102.4, ,sub-sec-1.1.3.4,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-132,https://zoneomics.com/code/191/chapter_1#1.1.3.4,False,0,"102.4 An application to the Board of Zoning Adjustment or the Zoning Commission for a modification (other than a minor modification) to a vested project shall conform with the
2016 Regulations as the
2016 Regulations apply to the requested modification."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,"102  VESTED RIGHTS UNDER THE PREVIOUS 1958 ZONING
 REGULATIONS, AS AMENDED.",102.5, ,sub-sec-1.1.3.5,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-133,https://zoneomics.com/code/191/chapter_1#1.1.3.5,False,0,"102.5 Any condition in an order of approval for a vested project identified within this section shall be considered binding despite any less restrictive requirements under the
2016 Regulations unless otherwise approved as a modification by the regulating authority."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,"102  VESTED RIGHTS UNDER THE PREVIOUS 1958 ZONING
 REGULATIONS, AS AMENDED.",102.6, ,sub-sec-1.1.3.6,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-134,https://zoneomics.com/code/191/chapter_1#1.1.3.6,False,0,"102.6 A project that utilizes vested rights under the
1958 Regulations shall be subject only to the provisions of the
1958 Regulations, unless approved as a modification by the regulating authority."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,"102  VESTED RIGHTS UNDER THE PREVIOUS 1958 ZONING
 REGULATIONS, AS AMENDED.",102.7, ,sub-sec-1.1.3.7,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-135,https://zoneomics.com/code/191/chapter_1#1.1.3.7,False,0,102.7 An approved amendment to a vested project that includes a physical building or structural addition shall be subject to the regulations in effect at the time of issuance of a building permit.
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,200  CODE ORGANIZATION,200.1, ,sub-sec-1.2.1.1,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-138,https://zoneomics.com/code/191/chapter_1#1.2.1.1,False,0,200.1 Title 11 is organized into a series of subtitles consisting of the Zoning Regulations and the Administrative Regulations.
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,200  CODE ORGANIZATION,200.2, ,sub-sec-1.2.1.2,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-139,https://zoneomics.com/code/191/chapter_1#1.2.1.2,False,0,"200.2 The Zoning Regulations consist of:
(a) Subtitle B - Definitions, Use Categories, and Rules of Measurement;
(b) Subtitle C - General Rules;
(c) Subtitle D - Residential House (R) Zones;
(d) Subtitle E - Residential Flat (RF) Zones;
(e) Subtitle F - Residential Apartment (RA) Zones;
(f) Subtitle G - Mixed-Use (MU) Zones;
(g) Subtitle H - Neighborhood Mixed-Use (NCNMU) Zones;
(h) Subtitle I - Downtown (D) Zones;
(i) Subtitle J - Production, Distribution, and Repair (PDR) Zones;
(j) Subtitle K - Special Purpose Zones;
(k) Subtitle U - Uses; and (l) Subtitle W - Specific Zone Boundaries."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,200  CODE ORGANIZATION,200.3, ,sub-sec-1.2.1.3,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-140,https://zoneomics.com/code/191/chapter_1#1.2.1.3,False,0,"200.3 The Administrative Regulations consist of:
(a) Subtitle A - Authority and Applicability;
(b) Subtitle X - General Procedures;
(c) Subtitle Y - Board of Zoning Adjustment Rules of Practice and Procedure; and (d) Subtitle Z - Zoning Commission Rules of Practice and Procedure."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,200  CODE ORGANIZATION,200.4, ,sub-sec-1.2.1.4,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-141,https://zoneomics.com/code/191/chapter_1#1.2.1.4,False,0,"200.4 The land use subtitles are Subtitles D, E, F, G, H, I, J, K, U, and W of this title."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,"201  RELATIONSHIP OF GENERAL SUBTITLES TO LAND USE
 SUBTITLES",201.1, ,sub-sec-1.2.2.1,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-143,https://zoneomics.com/code/191/chapter_1#1.2.2.1,False,0,"201.1 The general regulations of Subtitle C are to be read in concert with the specific use category regulations of each land use subtitle, including tables which identify use requirements, permissions, conditions, and exceptions specific to each zone."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,"201  RELATIONSHIP OF GENERAL SUBTITLES TO LAND USE
 SUBTITLES",201.2, ,sub-sec-1.2.2.2,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-144,https://zoneomics.com/code/191/chapter_1#1.2.2.2,False,0,"201.2 The land use subtitles are to be read and applied in addition to the regulations included as a part of:
(a) Subtitle A - Authority and Applicability;
(b) Subtitle B - Definitions, Use Categories, and Rules of Measurement;
(c) Subtitle C - General Rules; and (d) Subtitle U - Uses."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,"201  RELATIONSHIP OF GENERAL SUBTITLES TO LAND USE
 SUBTITLES",201.3, ,sub-sec-1.2.2.3,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-145,https://zoneomics.com/code/191/chapter_1#1.2.2.3,False,0,"201.3 When a provision of a land use subtitle modifies or supersedes a provision contained in Subtitle C, the land use subtitle shall govern."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,"201  RELATIONSHIP OF GENERAL SUBTITLES TO LAND USE
 SUBTITLES",201.4, ,sub-sec-1.2.2.4,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-146,https://zoneomics.com/code/191/chapter_1#1.2.2.4,False,0,"201.4 Where there is a conflict between a land use subtitle and the regulations of Subtitle C regarding the same regulatory topic, the land use subtitle shall govern unless otherwise stated."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,202  ZONES,202.1, ,sub-sec-1.2.3.1,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-148,https://zoneomics.com/code/191/chapter_1#1.2.3.1,False,0,"202.1 For the purpose of this title, the District of Columbia shall be divided into the following zones :
(a) Residential House (R) – low-density single dwelling unit residential;
(b) Residential Flat (RF) - row dwelling zones for two
(2) to four
(4) units;
(c) Residential Apartment (RA) - general apartments;
(d) Mixed-Use (MU) and Neighborhood Mixed-Use (NMU) – mixed-use commercial-residential zones;
(e) Downtown (D) - central business and high-density mixed-use commercial-residential;
(f) Production, Distribution, and Repair (PDR); and (g) Special Purpose zones for areas tied to a unique development plan."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,202  ZONES,202.2, ,sub-sec-1.2.3.2,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-149,https://zoneomics.com/code/191/chapter_1#1.2.3.2,False,0,"202.2 The zones shall be as shown, defined, and bounded on the Zoning Map."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,202  ZONES,202.3, ,sub-sec-1.2.3.3,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-150,https://zoneomics.com/code/191/chapter_1#1.2.3.3,False,0,"202.3 Subtitle W contains specific zone location information, including square and lot for certain zone districts with defined geographical boundaries."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,202  ZONES,202.4, ,sub-sec-1.2.3.4,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-9362,https://zoneomics.com/code/191/chapter_1#1.2.3.4,False,0,202.4 Geographically modified zones are indicated by letters following the base zone name.
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,203  DEVELOPMENT STANDARDS,203.1, ,sub-sec-1.2.4.1,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-152,https://zoneomics.com/code/191/chapter_1#1.2.4.1,False,0,"203.1 The development standards for a zone shall be determined by the combination of the general rules in Subtitle C, general standards in each land use subtitle, and base zone-specific regulations as stated in the development standard tables and text in each land use subtitle."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,203  DEVELOPMENT STANDARDS,203.2, ,sub-sec-1.2.4.2,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-9363,https://zoneomics.com/code/191/chapter_1#1.2.4.2,False,0,203.2 Development standards for geographically modified zones shall always be those of the base zone unless otherwise modified by a specific geographically modified zone.
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,204  USE PERMISSIONS,204.1, ,sub-sec-1.2.5.1,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-154,https://zoneomics.com/code/191/chapter_1#1.2.5.1,False,0,"204.1 Subtitle U contains use permissions for R, RF, RA, MU, ARTS, D and PDR zones.
Use permissions for all other zones are contained in their respective subtitles."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,204  USE PERMISSIONS,204.2, ,sub-sec-1.2.5.2,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-155,https://zoneomics.com/code/191/chapter_1#1.2.5.2,False,0,"204.2 Subtitle B contains use definitions, use categories, and use groups."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,205  ZONING MAP,205.1, ,sub-sec-1.2.6.1,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-157,https://zoneomics.com/code/191/chapter_1#1.2.6.1,False,0,205.1 The official Zoning Map of the District of Columbia shall be the zoning map that is produced and maintained by the Office of Zoning effective on the effective date of this title.
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,205  ZONING MAP,205.2, ,sub-sec-1.2.6.2,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-158,https://zoneomics.com/code/191/chapter_1#1.2.6.2,False,0,"205.2 The zoning map shall be available for public access from the Office of Zoning, either on paper or electronically."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,205  ZONING MAP,205.3, ,sub-sec-1.2.6.3,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-159,https://zoneomics.com/code/191/chapter_1#1.2.6.3,False,0,205.3 The official Zoning Map and all explanatory material on the map shall be incorporated by reference and made a part of this title.
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,205  ZONING MAP,205.4, ,sub-sec-1.2.6.4,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-160,https://zoneomics.com/code/191/chapter_1#1.2.6.4,False,0,"205.4 In addition to the official Zoning Map, a printable electronic summary extract of the official Zoning Map shall be prepared quarterly, published on the Office of Zoning’s website, and made available to the public for printing upon request."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,205  ZONING MAP,205.5, ,sub-sec-1.2.6.5,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-161,https://zoneomics.com/code/191/chapter_1#1.2.6.5,False,0,"205.5 The electronic summary extract of the official Zoning Map shall not supersede the official Zoning Map, but shall be prepared for the purpose of guidance only."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,206  ZONE BOUNDARY LINES,206.1, ,sub-sec-1.2.7.1,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-163,https://zoneomics.com/code/191/chapter_1#1.2.7.1,False,0,206.1 The zone boundaries shall be shown on each section of the Zoning Map.
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,206  ZONE BOUNDARY LINES,206.2, ,sub-sec-1.2.7.2,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-164,https://zoneomics.com/code/191/chapter_1#1.2.7.2,False,0,206.2 The scale of the Zoning Map and the dimensions entered on the map shall be shown on each section of the map to serve as guides.
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,206  ZONE BOUNDARY LINES,206.3, ,sub-sec-1.2.7.3,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-165,https://zoneomics.com/code/191/chapter_1#1.2.7.3,False,0,"206.3 Dimensioned zone boundaries showing on the Zoning Map are intended to coincide generally with lot lines.
Where a dimensional boundary line coincides within one foot (1 ft.) or less with a lot line of a lot of record on May 12, 1958, that boundary line shall be construed to be the lot line at that location."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 2 ADMINISTRATIVE AND ZONING REGULATIONS,206  ZONE BOUNDARY LINES,206.4, ,sub-sec-1.2.7.4,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-166,https://zoneomics.com/code/191/chapter_1#1.2.7.4,False,0,"206.4 Whenever a portion of any zone is indicated as a strip paralleling an opened or unopened street, the width of this strip, unless delimited by lot lines or otherwise dimensioned, shall be assumed to be one hundred feet (100 ft.) measured at a right angle from the nearest street to which it is parallel and adjacent."
